Ayah_number	sura name	chapter_number	meaning	content_ar	assudais	alafasy	almuaiqly	translation
23	Al-Baqara--البقرة	2	The Cow	وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002023.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002023.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002023.mp3	And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.
24	Al-Baqara--البقرة	2	The Cow	فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002024.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002024.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002024.mp3	But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.
25	Al-Baqara--البقرة	2	The Cow	وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002025.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002025.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002025.mp3	"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever)."
26	Al-Baqara--البقرة	2	The Cow	۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002026.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002026.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002026.mp3	"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-"
27	Al-Baqara--البقرة	2	The Cow	الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002027.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002027.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002027.mp3	Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.
28	Al-Baqara--البقرة	2	The Cow	كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002028.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002028.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002028.mp3	How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.
29	Al-Baqara--البقرة	2	The Cow	هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002029.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002029.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002029.mp3	It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.
30	Al-Baqara--البقرة	2	The Cow	وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002030.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002030.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002030.mp3	"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not."""
31	Al-Baqara--البقرة	2	The Cow	وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002031.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002031.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002031.mp3	"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right."""
32	Al-Baqara--البقرة	2	The Cow	قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002032.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002032.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002032.mp3	"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom."""
33	Al-Baqara--البقرة	2	The Cow	قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002033.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002033.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002033.mp3	"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?"""
34	Al-Baqara--البقرة	2	The Cow	وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002034.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002034.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002034.mp3	"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith."
35	Al-Baqara--البقرة	2	The Cow	وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002035.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002035.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002035.mp3	"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression."""
36	Al-Baqara--البقرة	2	The Cow	فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002036.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002036.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002036.mp3	"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time."""
37	Al-Baqara--البقرة	2	The Cow	فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002037.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002037.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002037.mp3	Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.
38	Al-Baqara--البقرة	2	The Cow	قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002038.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002038.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002038.mp3	"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve."
39	Al-Baqara--البقرة	2	The Cow	وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002039.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002039.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002039.mp3	"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein."""
